id,name,gender,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,salario_bruto,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par ,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
204367,Daniel Freitas (PL-SC),M,77 dias,0 dias,15 dias,3 reuniões,0 reuniões,0 reuniões,03/04/1982,"R$ 33.763,00",,0,"
		                		
			                	R$ 305.465,83","R$ 38.606,89","R$ 24.248,40","R$ 43.103,43","R$ 47.999,13","R$ 45.138,90","R$ 30.847,10","R$ 32.894,95","R$ 25.917,35","R$ 4.096,46","R$ 12.109,81","R$ 503,41",,,"105.697,03","105.697,03","109.243,35","110.816,55","110.933,95","111.423,11","111.423,11","111.423,11","111.423,11","111.423,11",0,0
204503,Alexandre Padilha (PT-SP),M,90 dias,1 dias,1 dias,87 reuniões,6 reuniões,27 reuniões,14/09/1971,"R$ 33.763,00",,0,"
		                		
			                	R$ 291.230,47","R$ 28.905,73","R$ 34.326,01","R$ 51.157,02","R$ 37.221,27","R$ 45.106,22","R$ 23.223,65","R$ 21.479,04","R$ 9.118,10","R$ 10.932,37","R$ 29.600,66","R$ 160,40",,,"111.641,51","111.641,51","111.641,51","111.641,51","111.641,51","111.641,51","110.013,14","111.641,51","111.641,51","111.641,51",0,0
178977,Eduardo Cury (PSDB-SP),M,88 dias,3 dias,1 dias,73 reuniões,1 reuniões,3 reuniões,19/09/1963,"R$ 33.763,00",,"
                                            ","
		                		
			                	R$ 331.285,52","R$ 44.245,79","R$ 43.411,00","R$ 38.868,35","R$ 28.628,41","R$ 38.316,02","R$ 37.405,99","R$ 32.488,40","R$ 25.399,98","R$ 15.738,89","R$ 25.605,38","R$ 1.177,31",,,"101.582,78","92.109,71","91.148,77","97.477,96","98.965,06","103.240,48","98.460,60","98.460,60","98.460,60","109.819,29",0,0
123756,Antônia Lúcia (REPUBLICANOS-AC),F,12 dias,0 dias,6 dias,0 reuniões,0 reuniões,0 reuniões,17/07/1970,"R$ 33.763,00",,,"
		                		
			                	R$ 97.118,40",,,,,,,"R$ 10.196,26","R$ 16.452,30","R$ 16.232,59","R$ 51.487,25","R$ 2.750,00",,,0,0,0,0,0,0,"0,00","0,00","0,00","0,00",0,0
204356,Amaro Neto (REPUBLICANOS-ES),M,92 dias,0 dias,0 dias,20 reuniões,0 reuniões,7 reuniões,04/12/1976,"R$ 33.763,00",,0,"
		                		
			                	R$ 274.104,12","R$ 42.292,73","R$ 23.497,16","R$ 34.426,77","R$ 47.806,82","R$ 44.977,07","R$ 20.179,17","R$ 24.764,49","R$ 7.547,57","R$ 18.792,57","R$ 8.484,32","R$ 1.335,45",,,"111.222,90","111.222,90","111.222,90","111.222,90","111.222,90","110.933,36","111.259,27","111.259,27","111.259,27","111.259,27",0,0
178952,Walter Alves (MDB-RN),M,77 dias,8 dias,7 dias,9 reuniões,4 reuniões,8 reuniões,27/02/1980,"R$ 33.763,00",,0,"
		                		
			                	R$ 317.763,78","R$ 16.275,45","R$ 52.068,25","R$ 43.693,12","R$ 58.063,77","R$ 58.625,31","R$ 36.037,87","R$ 19.606,30","R$ 21.869,88","R$ 3.500,01","R$ 7.812,68","R$ 211,14",,,"109.243,61","110.758,36","111.338,08","111.338,08","111.338,08","111.338,08","111.338,08","111.338,08","111.338,08","111.338,08",0,0
74478,Luciano Bivar (UNIAO-PE),M,51 dias,41 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,29/11/1944,"R$ 33.763,00",,0,"
		                		
			                	R$ 185.857,07","R$ 18.381,42","R$ 23.290,80","R$ 32.989,31","R$ 19.048,08","R$ 43.618,09","R$ 14.831,36","R$ 14.148,53","R$ 7.726,22","R$ 9.042,28","R$ 2.778,63","R$ 2,35",,,"91.073,95","93.911,18","93.911,18","88.454,35","95.106,71","98.832,14","103.178,96","109.418,54","111.356,48","111.356,48",0,0
157130,Túlio Gadêlha (REDE-PE),M,84 dias,8 dias,0 dias,53 reuniões,16 reuniões,61 reuniões,12/11/1987,"R$ 33.763,00",,0,"
		                		
			                	R$ 384.141,87","R$ 22.201,56","R$ 33.060,63","R$ 55.862,54","R$ 51.086,03","R$ 59.826,44","R$ 34.741,72","R$ 31.903,99","R$ 31.005,22","R$ 24.904,26","R$ 33.878,06","R$ 5.671,42",,,"111.435,40","110.985,67","111.288,65","110.232,48","111.665,84","110.955,10","108.096,17","108.686,96","111.593,09","109.795,26",0,0
74784,Luiza Erundina (PSOL-SP),F,78 dias,14 dias,0 dias,37 reuniões,9 reuniões,14 reuniões,30/11/1934,"R$ 33.763,00",,,"
		                		
			                	R$ 222.485,05","R$ 17.316,28","R$ 17.369,22","R$ 13.312,38","R$ 23.549,05","R$ 49.196,58","R$ 41.316,33","R$ 41.450,36","R$ 18.601,72","R$ 126,15",,"R$ 246,98",,,"106.370,19","98.801,78","96.737,67","96.737,67","96.737,67","96.737,67","96.737,67","96.737,67","96.737,67","102.137,42",0,0
204358,Beto Pereira (PSDB-MS),M,87 dias,2 dias,3 dias,29 reuniões,3 reuniões,42 reuniões,14/11/1977,"R$ 33.763,00",,0,"
		                		
			                	R$ 317.620,57","R$ 31.302,38","R$ 37.733,45","R$ 46.071,17","R$ 46.424,41","R$ 43.050,57","R$ 37.786,28","R$ 29.839,31","R$ 16.128,37","R$ 5.877,55","R$ 23.407,08",,,,"111.514,04","111.586,80","110.868,87","111.514,00","111.457,65","111.586,78","110.672,43","111.629,28","111.629,28","111.629,28",0,0
178922,Tadeu Alencar (PSB-PE),M,82 dias,9 dias,1 dias,43 reuniões,15 reuniões,39 reuniões,08/04/1963,"R$ 33.763,00",,0,"
		                		
			                	R$ 382.090,82","R$ 33.136,04","R$ 35.605,24","R$ 47.956,40","R$ 52.313,50","R$ 53.943,06","R$ 36.506,38","R$ 38.165,37","R$ 29.185,97","R$ 35.584,92","R$ 18.975,43","R$ 718,51",,,"82.100,84","82.100,84","82.100,84","82.100,84","83.823,55","94.672,90","99.931,87","102.657,96","102.657,96","101.108,43",0,0
